statefp,macro_period,topic,prob
02,-1,28,0.3867154976146089
02,-1,29,0.4788005652704409
02,-1,30,0.3119196151383221
02,-1,31,0.4069163256014387
02,-1,32,0.16606681607663631
02,-1,33,0.09596184951563676
02,-1,34,0.33017754592001436
02,1,0,0.6026884960010648
02,1,1,0.5024603679776192
02,1,2,0.6304723407541003
02,1,3,0.6027402378180448
02,1,4,0.6329623781285196
02,1,5,0.7088613101414272
02,1,6,0.49090763449668884
02,1,7,0.56956518973623
02,1,8,0.5767820430919528
02,1,9,0.6682375147938728
02,1,10,0.6460999931607928
02,1,11,0.5651681115850806
02,1,12,0.6448696883434945
02,1,13,0.5601080871861557
02,1,14,0.6790989307980788
02,1,15,0.563812322417895
02,1,16,0.6172302791641818
02,1,17,0.5983959344717172
02,1,18,0.6702362306175693
02,1,19,0.7285021431744099
02,1,20,0.5654786203218543
02,1,21,0.7189167525087085
02,1,22,0.5617641558249792
02,1,23,0.6522145438939333
02,1,24,0.656755464211587
02,1,25,0.6353025843317692
02,1,26,0.6996748526891072
02,1,27,0.775659976793187
02,1,28,0.561022495230039
02,1,29,0.5260983616113662
02,1,30,0.46094133987508973
02,1,31,0.6653699974219004
02,1,32,0.7650999671646527
02,1,33,0.7306363836560451
02,1,34,0.5669724444548289
04,-1,0,0.5034887173937427
04,-1,1,0.5280495855527428
04,-1,2,0.45839375846328273
04,-1,3,0.5484614631019237
04,-1,4,0.5294447086775418
04,-1,5,0.5102001609343091
04,-1,6,0.5002361436029413
04,-1,7,0.6072568652783134
04,-1,8,0.5542008640768472
04,-1,9,0.4191641579463817
04,-1,10,0.3766761447231357
04,-1,11,0.47717182997738916
04,-1,12,0.5789634497523457
04,-1,13,0.517344567222429
04,-1,14,0.5305936190998182
04,-1,15,0.39835788770800545
04,-1,16,0.5646956298381627
04,-1,17,0.519251561032213
04,-1,18,0.7284858006066481
04,-1,19,0.5017188255782841
04,-1,20,0.546665998056848
04,-1,21,0.4578505139052868
04,-1,22,0.4652468936983496
04,-1,23,0.5388758558801998
04,-1,24,0.5590256661502768
04,-1,25,0.4782325476408005
04,-1,26,0.5654877839924793
04,-1,27,0.43510674438054175
04,-1,28,0.47526314828117844
04,-1,29,0.4984348682341752
04,-1,30,0.387609694175925
04,-1,31,0.49022726135620154
04,-1,32,0.46627578643503886
04,-1,33,0.4296795409435118
04,-1,34,0.4305677814056363
04,0,0,0.2865593883519371
04,0,1,0.44133962830528617
04,0,2,0.6420757789164782
04,0,3,0.5589859470921127
04,0,4,0.5207570719742968
04,0,5,0.5271888802360211
04,0,6,0.38153110654093325
04,0,7,0.6225615302100778
04,0,8,0.512719738141944
04,0,9,0.5985714200263222
04,0,10,0.1776553001254797
04,0,11,0.42998256637818283
04,0,12,0.5571904839016497
04,0,13,0.4805016976648143
04,0,14,0.366916972771287
04,0,15,0.6027650835790804
04,0,16,0.49109019444634516
04,0,17,0.5102617444040684
04,0,18,0.5803433459045159
04,0,19,0.6326219064036482
04,0,20,0.5337927087343165
04,0,21,0.60602527883436
04,0,22,0.4825178643857891
04,0,23,0.5246207255192779
04,0,24,0.612596737117403
04,0,25,0.376175955204027
04,0,26,0.4709193529561162
04,0,27,0.4892598541919142
04,0,28,0.5006909245768418
04,0,29,0.4716771650793297
04,0,30,0.4363095317967236
04,0,31,0.6035502654396825
04,0,32,0.38733251423885423
04,0,33,0.5185505665306535
04,0,34,0.6573617161251605
04,1,0,0.5407091426561038
04,1,1,0.5399191260947005
04,1,2,0.5277090602404704
04,1,3,0.5829990874545528
04,1,4,0.556472834586798
04,1,5,0.6135921359709244
04,1,6,0.5414003121999982
04,1,7,0.5618872732051214
04,1,8,0.5761109230847427
04,1,9,0.5859649369315978
04,1,10,0.562438656941622
04,1,11,0.5284550504868613
04,1,12,0.5523722808568884
04,1,13,0.5618420974127707
04,1,14,0.5762279300755346
04,1,15,0.5204732802474376
04,1,16,0.5399342053348358
04,1,17,0.5463091998936808
04,1,18,0.6419949739396867
04,1,19,0.5614776213513545
04,1,20,0.5353995472723996
04,1,21,0.5852752152143709
04,1,22,0.5511740401832008
04,1,23,0.5223000358417862
04,1,24,0.5640178345495886
04,1,25,0.5411234515230575
04,1,26,0.5765204803237579
04,1,27,0.5571822618674865
04,1,28,0.5399912930616414
04,1,29,0.5367236527014677
04,1,30,0.5687647018690057
04,1,31,0.5793068882643172
04,1,32,0.5558586069800986
04,1,33,0.6614622238803126
04,1,34,0.5838442231700601
05,-1,0,0.5565205031427843
05,-1,1,0.5599296229041141
05,-1,2,0.6545526710423556
05,-1,3,0.5407520658694781
05,-1,4,0.5313755433474269
05,-1,5,0.2621088581425803
05,-1,6,0.4992303641942831
05,-1,7,0.5406210411872182
05,-1,8,0.5244127243757248
05,-1,9,0.5231262611018287
05,-1,10,0.4830748601393266
05,-1,11,0.5560083702206612
05,-1,12,0.5350997145287693
05,-1,13,0.5468060572942098
05,-1,14,0.5459744681914648
05,-1,15,0.5309293568134308
05,-1,16,0.39421433707078296
05,-1,17,0.5137801021337509
05,-1,18,0.6527463121188654
05,-1,19,0.5936682394572667
05,-1,20,0.44383376091718674
05,-1,21,0.3715021774172783
05,-1,22,0.4610653950108422
05,-1,23,0.45241422419037136
05,-1,24,0.5606259982450865
05,-1,25,0.6384850433644127
05,-1,26,0.6523036533280423
05,-1,27,0.46504474537713186
05,-1,28,0.45029214737207995
05,-1,29,0.5316278558028372
05,-1,30,0.3287426345050335
05,-1,31,0.6237120788830978
05,-1,32,0.5830612012318203
05,-1,33,0.4576247079031808
05,-1,34,0.4570297383599811
05,1,0,0.19139193394221365
05,1,1,0.014285714365541935
05,1,2,0.2599543670658022
05,1,3,0.3219672595150769
05,1,4,0.6337580638272422
05,1,5,0.18880721973255277
05,1,6,0.5325188638642431
05,1,7,0.44697469503929216
05,1,8,0.2622940444077055
05,1,9,0.5365079346423348
05,1,10,0.45711105099568766
05,1,11,0.44339036364108325
05,1,12,0.45616969489492476
05,1,13,0.4989903497043997
05,1,14,0.640422053867951
05,1,15,0.014285714365541935
05,1,16,0.4900749497381704
05,1,17,0.19595438265241683
05,1,18,0.5836009844629602
05,1,19,0.5927891237661242
05,1,20,0.4030843179983397
05,1,21,0.478984375949949
05,1,22,0.3304293940309435
05,1,23,0.16637973533943295
05,1,24,0.37298940774053335
