abbrv,statefp,cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
GA,13,9,0.035113778327282484,0.033710833072238995,0.015038610860462081,0.03051379908067757,0.03693510634984069,0.030055383404840604,0.028281589556249646,0.04653709325045131,0.030166550964566302,0.019723938241501024,0.053971067024545426,0.016795545196563556,0.02526281775436655,0.025404415842703632,0.022730176971713128,0.03528921321035786,0.024197383339791125,0.034739295687371996,0.019996803015766493,0.03060490467521337,0.022967083257452288,0.032035119427680295,0.02164676801333607,0.019142637794191182,0.02820802815835122,0.017459539686050535,0.026851162674704027,0.02687088065357494,0.030025969154128883,0.038266336653949774,0.05034155089041863,0.029514808108294825,0.02156815504251157,0.017580598714412754,0.02245305710082384
HI,15,9,0.032425408566841084,0.04546187476196423,0.014888061645254616,0.03248584140878336,0.039666935590932983,0.02934755088426148,0.02550184997880827,0.04192904971892211,0.028955078916468813,0.017517477141949293,0.051999510731004256,0.018274511397692872,0.03330292816483315,0.023732595601769192,0.021039456095823673,0.04147358223287657,0.02341085245098961,0.030698986078743332,0.016771338752265504,0.033971306203976696,0.022857612086625314,0.037604324107577615,0.025074559771497775,0.020326398660310427,0.02770485490170383,0.017551183053809736,0.01961015685423239,0.02363766660860376,0.026421522155148033,0.035089882374170905,0.0494343099567491,0.027505116058655847,0.01965283706426418,0.019863130132469462,0.02481225088147355
ID,16,9,0.03894750312530754,0.04781949608107881,0.015086550404520319,0.03196910316757469,0.04025685739975517,0.029304227142767557,0.026658585413578403,0.04672039901928271,0.02679712566423567,0.0178556156666719,0.050335124143518664,0.018125369879222808,0.042556150137841,0.02542919459393256,0.020527283997214558,0.03576600528825297,0.02159171542496283,0.02684669923351317,0.020358132329268377,0.02798956167108994,0.02353487474607559,0.034274433288222175,0.015139964754601604,0.02191503465938314,0.02875605159157737,0.018052823958854606,0.026691407031357434,0.026534531253959773,0.033743782264934144,0.03249815406347868,0.04446521458337805,0.02961204276973973,0.018183150751850723,0.012087208847098897,0.023570628979711083
IL,17,0,0.03039905724880608,0.04063121105574704,0.01652655788081971,0.027551526348182365,0.03139327631630271,0.028290727875634504,0.0261807089821392,0.04013691020921821,0.030936217304223412,0.01979000335382045,0.04737405680178958,0.0192578501533909,0.02734294833578313,0.023891545686830426,0.02455993490653391,0.03308657937758943,0.02192380199376203,0.04091160438826553,0.02354861081391299,0.032212515334660956,0.02271292979847981,0.03346871917733151,0.022963618639512753,0.020332991779293895,0.02616143028032869,0.019987555405981666,0.0234435537240962,0.027830888000510035,0.03479822044364473,0.04414599980058301,0.041543755178353334,0.028829150088372536,0.02355414428629873,0.01935533864800133,0.024926061489389653
IN,18,0,0.03237322328499056,0.04304032175328398,0.017257239839038995,0.02707651496266204,0.030529191934159327,0.02721615412691843,0.024635338013066523,0.04111423147020072,0.03120024079354018,0.01915250185732153,0.04508416714559994,0.019260871860712497,0.029167259116516128,0.02334264100130805,0.021802611459545023,0.033844820233905656,0.020947139584803258,0.03764290705219072,0.030659951641989248,0.03067273143341534,0.021925961214253827,0.035127002548358786,0.02452475863194415,0.01971794624376409,0.02483964324408736,0.018609376450513897,0.024108947547305467,0.029442506419895285,0.03703131287039864,0.04210300380960167,0.04202932274231902,0.02877047283382044,0.01990923966848706,0.020371037584487005,0.02546941050972514
IA,19,9,0.03144101061309287,0.032327353185254745,0.016090569940274507,0.032350553979574724,0.03424333157006469,0.033987588902877335,0.025613496935848138,0.04231220280230399,0.02791479090838201,0.01677900992590066,0.05254363682235876,0.015089479334018923,0.03568495035627074,0.026701402649558514,0.018378429283605016,0.036595298243007626,0.022338585588402116,0.029665121639142353,0.01853248925673899,0.02905772638380992,0.025740016538758327,0.034806776629675046,0.02075205503328171,0.02018082829633965,0.025471081869098734,0.019004658894212084,0.032079005411177426,0.03247386978094928,0.025575688598301453,0.03729610010546185,0.05141114124383394,0.03365223205339184,0.02024088226367283,0.01797815016595783,0.025690486715301407
KS,20,0,0.030147325841967207,0.04347851477329665,0.018597916571889774,0.02695292061017376,0.03193331882532526,0.026526800065531674,0.023930758998103648,0.039379802120955265,0.030085896769005784,0.02007692811824786,0.0460801785441692,0.019224465428292335,0.02565253085825361,0.02330326669195321,0.020395611638459994,0.03157733650698085,0.020905522573465868,0.045458472647026835,0.024223497568004546,0.029315866260488318,0.02435299550654455,0.03232930815076795,0.02546016223351598,0.023084074348530742,0.024936716880445426,0.020948845960924164,0.025847391400593125,0.030982659448210614,0.0372922848159446,0.04489071276130635,0.039911296082646,0.02946968795326307,0.018124005257517447,0.01941355462303079,0.025709374263009482
KY,21,9,0.0360462148431345,0.03906831883457582,0.015759895378814396,0.03059825893978649,0.03306142136294391,0.028774805988665712,0.024680940938978237,0.03930791923648661,0.02981933555412218,0.018247745524043894,0.04917456282634911,0.019346105239312752,0.030781800065382014,0.02609752247670793,0.0210618751561618,0.03323324522398146,0.02176183171505364,0.03340634852373844,0.024814583541877114,0.02972558020918441,0.0264008344635102,0.03681708773682621,0.019550955788795173,0.01881792553158511,0.02562939758596676,0.01772024132877252,0.026386240004143576,0.028064723236896173,0.038052350032282106,0.036745173558388494,0.042940081888197215,0.028436330921725324,0.021366144512483608,0.024230485163836184,0.02407371818238168
LA,22,0,0.028908990240091408,0.035830290923624074,0.017766965737760137,0.026322037956328665,0.029796635543576703,0.029292949216481682,0.024372164178523364,0.03983097189858487,0.027661911478759675,0.01892449510336686,0.05129278758079284,0.016866977628650106,0.023741176618397884,0.02372222965396006,0.02345906196733086,0.03248870168972724,0.018914567751452116,0.036595935839370305,0.045594838236004714,0.027980083095551424,0.024473855379574097,0.03279228033716151,0.020155201418469854,0.019166499533394204,0.02437723686295821,0.017528771269266552,0.02655070635524306,0.029777689688083597,0.0410704272551257,0.04152057110871066,0.040950286341970926,0.031438567850668696,0.020845370487301455,0.026391048921590547,0.023597715858281968
ME,23,0,0.020672712557212654,0.04393276400122699,0.026606367161193637,0.019847647717110284,0.03300113545677869,0.03490678113612763,0.025796252708214975,0.039859440081491934,0.026760726026507056,0.014898609235413795,0.04228850724613162,0.013527043951437511,0.029401880184498925,0.015303670185954963,0.012802874874191504,0.02476463004978083,0.024017012137704997,0.0349160314530154,0.026397241274529,0.03717373948542613,0.04851133813743037,0.032709110742897216,0.020202688329129855,0.024447219407496352,0.01962244007216291,0.01599433842067217,0.02852377963065771,0.045573814296913304,0.04295175038368923,0.039466574045429866,0.03497616562072571,0.032007998206854155,0.017411204430205312,0.028049964489537484,0.022676545351327574
