abbrv,statefp,cluster,macro_period,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MI,26,4,-1.0,0.10856918647940379,0.08429179568733183,0.09821888480644908,0.11341008508169545,0.11599911425798624,0.08812635028469973,0.07961947262354742,0.12748673586559314,0.09132783144564235,0.09295054689820054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,26,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11813723500176415,0.11448306282598275,0.07962212245155605,0.08165029076479734,0.12257421221854145,0.08101717014248185,0.1301312238061511,0.0834271970512913,0.09550918084345456,0.09344830677600734
MN,27,4,-1.0,0.11145289805174495,0.07812108282698318,0.09883699058787897,0.11139637087937444,0.11065829345568394,0.08469654403549308,0.07894365873265391,0.13873878920606028,0.09334795777841161,0.0938074173599792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,27,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12250426690666417,0.10469924473674509,0.0723343728372948,0.07853014335261983,0.11399985227125128,0.08831283004408431,0.13842477193957187,0.08927129086829731,0.09611432310672548,0.09580890579904901
MS,28,3,-1.0,0.08879176545077272,0.0979615116595121,0.10877283652974072,0.13993707816865994,0.07979503918886381,0.0776260464973158,0.08613627905144029,0.12881037525065972,0.08802554750996876,0.10414352236404072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,28,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11216221734609971,0.12247403412737101,0.09769514880138913,0.08089938184922707,0.10766191480184188,0.07518969192384996,0.1345890097190846,0.08357578680198297,0.09335591091488107,0.0923969056142774
MO,29,1,-1.0,0.11211082617253915,0.11764345069453992,0.08886328996472301,0.09389425249911888,0.12244805155120442,0.09604934245288067,0.0687126489757827,0.11060045757984514,0.08950556292027038,0.1001721216646181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,29,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11681611948487228,0.11961260304645843,0.0752683617049917,0.08363870330876708,0.1282267864008749,0.08171155792218296,0.1230314291290835,0.0792354598325135,0.10345983612230153,0.08899914532781134
NE,31,1,-1.0,0.10816802657266826,0.10905509025410369,0.09541294594398803,0.0834182751123552,0.1353767040266115,0.10135048795491457,0.054469981296332896,0.10694753265261282,0.09776007842134546,0.10804088000714043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,31,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11539905126842465,0.15897780893478836,0.06504255812228278,0.08469919839225361,0.11275950319617649,0.07727194165007642,0.11670542475268009,0.07685830296169167,0.10491585480984796,0.08737035892310122
