abbrv,statefp,cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
GA,13,3,0.5330872334825179,0.49660744855909245,0.5041587161547122,0.5566267350573756,0.5306892868646077,0.5809898183965203,0.5203987767911039,0.566253676677921,0.5758355544161682,0.5087700200981289,0.5476042659738884,0.519327365674648,0.5368666780173982,0.49813465829032183,0.522688745111422,0.5018582420058673,0.5541181317979187,0.5074843720797825,0.6046882998990246,0.5105197550835966,0.5585801306644813,0.5099784877355688,0.5087421727218355,0.5168428179925147,0.565230554156534,0.5109700432709997,0.559295800996392,0.5076294778285865,0.5261171707477081,0.5153667705795659,0.4522495533071332,0.5364460325691168,0.4995343469154949,0.591457580842242,0.5429894302612204
HI,15,3,0.5184490889959941,0.5461705765332532,0.5180235679311279,0.6199243704255434,0.5262394216610119,0.5866855462998942,0.4900014447181353,0.597749461964087,0.5685419461775669,0.5728303028847135,0.5417464797214513,0.5154672822555398,0.5780299798289145,0.5098249729797244,0.5667944974159352,0.5130261324674767,0.5795336315279891,0.554401378847786,0.6812978412401471,0.5732103654079967,0.5324900567979564,0.5385880899907212,0.5309328149060571,0.515339320093528,0.5533086467185058,0.5253796622808266,0.5366769523727117,0.564298478656158,0.49628488967289863,0.5134500690136653,0.4544357674350159,0.48836007388308644,0.5020953228086,0.6038803318818289,0.5217622159152395
ID,16,6,0.5216044397093356,0.5436498865757774,0.6172394820546009,0.5912332187660716,0.5214921962994505,0.6191165074251774,0.5730650532680254,0.5541396134015587,0.6514185944439045,0.5404308186843991,0.5420163601467555,0.5315183130214396,0.6022614933511553,0.5723436306851606,0.6345119978809222,0.47505327191902325,0.622948613992947,0.6351272543782697,0.6559111581786591,0.5743462757091038,0.5618445627452409,0.6658743872824643,0.5444206851700854,0.5684844246530469,0.5915454328733395,0.5300504997568695,0.5954250120176156,0.6338565474919354,0.5839931047455945,0.5573811057535275,0.49510930465075415,0.6368265799246728,0.6424955770240298,0.6293464013517408,0.5560947608393736
IL,17,3,0.528911783575783,0.5167821167442049,0.5159689208410082,0.5707017412068514,0.5470024258689611,0.5855264084909706,0.5312166723839298,0.5529298667836307,0.5744323592311683,0.5689147915624825,0.5411527661140606,0.5191885420075008,0.5477658131524683,0.5333885686821913,0.5530567133091789,0.5101894215658285,0.5648393672797463,0.5312154684347513,0.6339926384976396,0.5303478028280673,0.528004630639498,0.5535226681616398,0.5347157366313848,0.5225579054351911,0.5639136747780887,0.5294677806824639,0.5716472604687799,0.5285996738506932,0.5255604743046581,0.525404431463322,0.5041222363250173,0.5602244713511358,0.5489654083427314,0.6405810519562083,0.5662907148629526
IN,18,3,0.524795608885071,0.5303815133902835,0.5260780491878512,0.5817844711718095,0.5504509111748856,0.5899225857857032,0.5380017574035837,0.5598821772771762,0.5808798561792747,0.5615004419555064,0.5281165527215693,0.5138304621104995,0.5476477424253686,0.5300609496350657,0.5716384599770259,0.5075691381417161,0.5363923103997001,0.5365189393970137,0.6537399449561448,0.548754409383052,0.5367919940877195,0.5531244937852156,0.5216513789563063,0.5186050105085378,0.565155362203329,0.5379366290045325,0.577185465237717,0.5528077906937628,0.5319855228988576,0.5331576850472856,0.5572579633091461,0.5468944461428701,0.5428002335009028,0.6394442270278551,0.5610779894987581
IA,19,4,0.5350479604302341,0.4827767529578976,0.48118882170725535,0.5528101141656618,0.5477705009938251,0.5644612994054874,0.5046905315005962,0.5416240817009169,0.5898126300977529,0.49562538767931985,0.47571137860262147,0.5029761496915529,0.5469727231681055,0.5077732523434105,0.5302030773553459,0.46367543081241036,0.552836372433352,0.5234233453785154,0.6118497572815187,0.49798842922882924,0.5518405453322804,0.5250766795811201,0.4910468851902497,0.5052363476949647,0.5742626894580419,0.5049720604727163,0.5594563566078722,0.4902791426878878,0.5083159262008737,0.5348326534737992,0.41124140052631014,0.5084732903508089,0.4595291516676759,0.5784089979795932,0.5034151343241721
KS,20,3,0.5211490703468565,0.5355575262536977,0.49384942481919614,0.572829823150663,0.5396906107424535,0.5936655789209113,0.5159234729117056,0.5592911946077039,0.5654416076711791,0.5562275863715453,0.49141706671812363,0.49453591001473207,0.547282481906093,0.533014660937762,0.5461599882237055,0.4879782272442235,0.5293902253581737,0.48758617802532156,0.6376066620801165,0.5231962372535491,0.5420383889646677,0.5493338458259708,0.5208630584845054,0.5180415178860792,0.5610552714671939,0.5241270064193787,0.5610597860233406,0.5579388135492015,0.5264601853713046,0.5193055234908547,0.48985412710086224,0.5280770934186876,0.50953172769824,0.6483686212015219,0.5672865977257331
KY,21,3,0.5481904142322874,0.5012389446634389,0.5210982737638573,0.5682089681495871,0.5507242329728481,0.5900417907677334,0.5216762929149523,0.5684387163042014,0.590781503830798,0.5609154142065903,0.518831262937911,0.5164042118116013,0.5527958050441621,0.5391918261902788,0.5927217819461865,0.4999958901802899,0.5517040463851398,0.5517874417869271,0.6431401847219779,0.5616335970979812,0.5334945298239308,0.5529989499197814,0.5017470579034945,0.5484069198691919,0.5669648455641731,0.5296013344670524,0.5677249777235798,0.548211881294428,0.5370953103212858,0.5313583415292669,0.5173371925646829,0.5437816398059928,0.5675435127809011,0.624477262576177,0.5250433842279912
LA,22,3,0.5294373703016964,0.5320371218527166,0.5441468242862886,0.5793184123634724,0.5613937876100831,0.5875709734142945,0.5219029316087127,0.5675334553154815,0.5657286144523486,0.5830811435346213,0.5076812579209685,0.5079131157911135,0.5728655846329865,0.5490568293432627,0.5906191129686158,0.491208380703418,0.5689508830029867,0.5257407328498797,0.6284931596354129,0.5579171979302135,0.551159659462954,0.5740608545977657,0.5183932531893684,0.5105003240578028,0.5739832679127836,0.5425050736537046,0.5710537566000299,0.5466715564440987,0.5280266279773927,0.5057196523220969,0.6325427820495396,0.554047571552341,0.5598413235944463,0.6446039066812268,0.539733882572784
ME,23,6,0.5635835402221843,0.741884640004072,0.611109749879688,0.5982024366806807,0.6074185603004145,0.68545786769722,0.6043075495399535,0.6031155620532279,0.6101761915671983,0.6903487593600792,0.5612684452207759,0.6127149725661558,0.6092454478455086,0.6305258572474122,0.6869029825320467,0.553264068772218,0.5769517801934854,0.5161208385028518,0.6867619123751003,0.631132209927521,0.4255698658884145,0.6831170443774146,0.651026834401169,0.5322858013678342,0.5805692934910908,0.5791762900937881,0.6677516439791631,0.4886108583516695,0.6520852187810384,0.6558612081710071,0.38554578575172593,0.5740698710549623,0.6308983484856211,0.6726030501646593,0.677418493175585
