topic,token,count,rank
21,laws,7662,12
21,like,3815,7
21,muslim,3426,3
21,order,5280,4
21,policy,6468,8
21,president,5416,6
21,rally,3389,19
21,support,2609,13
21,trump,19988,1
21,want,2743,11
21,white,3548,10
22,america,1543,15
22,anti,2481,9
22,ban,8588,3
22,countries,4626,4
22,donald,2721,7
22,immigrant,1458,16
22,immigrants,2872,8
22,immigration,10688,2
22,islam,990,5
22,like,914,12
22,muslim,19779,1
22,new,1539,19
22,order,1359,14
22,people,1121,17
22,refugeee,1849,6
22,refugeees,2759,10
22,says,2141,13
22,support,1400,18
22,trump,20566,0
22,women,868,11
23,ban,15620,2
23,chaos,3665,13
23,donald,2352,11
23,executive,1583,12
23,immigrant,1974,8
23,immigration,11599,3
23,islam,2203,4
23,know,1747,10
23,like,1803,9
23,muslim,10501,1
23,muslims,691,18
23,nation,1638,19
23,order,2838,7
23,orders,1805,14
23,president,1125,15
23,protest,3115,17
23,read,6239,6
23,refugeee,3881,5
23,trump,15458,0
23,white,1992,16
24,america,2096,18
24,anti,3483,9
24,arabia,4300,16
24,ban,3787,3
24,countries,4555,6
24,good,2861,10
24,immigrant,2576,8
24,immigration,7467,1
24,islam,3665,7
24,law,9703,4
24,let,3206,11
24,majority,1839,15
24,muslim,22351,0
24,obama,991,19
24,people,1437,17
24,refugeee,2479,5
24,refugeees,1902,14
24,saudi,5502,12
24,sharia,4915,13
24,trump,3354,2
25,america,3050,8
25,americans,6224,6
25,ban,11546,2
25,countries,4507,5
25,donald,940,18
25,immigrant,598,12
25,immigration,6625,3
25,islam,1412,4
25,like,1945,10
25,majority,3386,15
25,muslim,22693,0
25,order,857,9
25,people,762,17
25,policies,677,19
25,refugeee,1024,11
25,says,1573,14
25,think,1230,16
25,trump,10260,1
25,white,1617,13
25,world,3698,7
26,ban,1676,5
26,camp,3285,13
26,children,4643,8
26,illegal,539,18
26,immigrant,1201,10
26,immigration,2534,4
26,islam,11415,2
26,like,2783,6
26,muslim,11270,0
26,people,1788,7
26,refugeee,12910,1
26,refugeees,1794,11
26,right,1013,19
26,said,2820,9
26,says,1325,17
26,terrorism,2461,15
26,think,1267,16
26,trump,4540,3
26,white,1618,14
26,women,1426,12
27,actions,2201,18
27,ban,6422,5
27,countries,2486,13
27,crisis,3336,17
27,donald,1281,19
27,illegal,1559,10
27,immigrant,2269,8
27,immigration,13697,1
27,islam,1716,7
27,muslim,6782,4
27,muslims,1145,15
27,obama,16290,3
27,order,2148,9
27,people,5592,6
27,policy,5109,12
27,president,3323,11
27,refugeee,20346,0
27,refugeees,2525,14
27,trump,16439,2
27,vetting,4447,16
28,america,1634,15
28,ban,52562,1
28,christian,1277,16
28,countries,3034,6
28,country,6918,4
28,court,9091,5
28,immigrant,496,19
28,immigration,13339,3
28,islam,473,12
28,like,1384,9
28,muslim,53877,0
28,need,1067,18
28,obama,1780,10
28,order,1552,8
28,people,1990,17
28,refugeee,1237,11
28,refugeees,1743,13
28,travel,3081,14
28,trump,21387,2
28,video,4951,7
29,administration,3102,18
29,anti,1651,13
29,ban,16926,3
29,executive,16524,6
29,immigrant,3799,7
29,immigrants,1760,15
29,immigration,53356,1
29,judge,9259,11
29,legal,3431,17
29,like,2599,8
29,media,1870,14
29,muslim,9064,4
29,muslims,718,19
29,obama,2486,10
29,order,55283,2
29,president,4943,12
29,refugeee,12118,5
29,refugeees,5469,9
29,says,3452,16
29,trump,64289,0
30,america,2485,19
30,american,1742,14
30,ban,3352,3
30,death,4134,10
30,immigrant,3707,5
30,immigration,3915,2
30,isis,2021,17
30,islam,49249,0
30,muslim,18252,1
30,muslims,7952,6
30,people,3995,7
30,refugeee,925,13
30,religion,5006,12
30,right,1911,16
30,says,2684,11
30,tell,2035,18
30,true,3924,15
30,trump,2755,4
30,women,4390,9
30,years,4640,8
31,america,1721,19
31,ban,3466,3
31,crisis,4801,9
31,defend,736,18
31,europe,3357,14
31,help,3810,12
31,immigrant,4849,6
31,immigration,6662,2
31,islam,3258,7
31,jesus,3315,10
31,justice,1183,13
31,muslim,8351,1
31,new,1910,11
31,order,1133,8
31,people,5472,4
31,refugeee,21355,0
31,right,1225,17
31,support,1615,16
31,trump,3611,5
31,video,1416,15
32,anti,859,19
32,ban,2127,4
32,christmas,5215,11
32,countries,705,16
32,elderly,5091,12
32,free,8797,6
32,immigrant,5770,3
32,immigration,7882,0
32,islam,1870,7
32,like,5794,5
32,meals,5006,13
32,muslim,11234,1
32,offering,5354,9
32,owned,5557,8
32,people,1367,18
32,policy,1278,17
32,refugeee,1388,14
